id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1371507005547024384,1371507005547024384,"2021-03-15 18:02:06 Paris, Madrid",2021-03-15,18:02:06,+0100,1052933724172668928,tinyheartswaco,Tiny Hearts Imagery,,"Time flies and as soon as you know it you are entering labor and you’ll be heading to the hospital. With our maternity hospital bag checklist, you can be sure to be prepared and comfortable!  Learn more:  https://t.co/nGBuQ1PpkZ  #hospitalbag #maternity #birth #Waco",en,[],['https://tinyheartsimagery.com/maternity-hospital-bag-checklist/'],[],0,0,0,"['hospitalbag', 'maternity', 'birth', 'waco']",[],https://twitter.com/tinyheartswaco/status/1371507005547024384,False,,0,,,,,,,,[],,,,
1371506834012581890,1371506834012581890,"2021-03-15 18:01:25 Paris, Madrid",2021-03-15,18:01:25,+0100,1189236150155862016,getpregnantabc,How to get pregnant,,"In the moments of #labor and #birth, all the forces of the universe are flowing through a woman's body.",en,[],[],[],0,0,0,"['labor', 'birth']",[],https://twitter.com/GetPregnantABC/status/1371506834012581890,False,,0,,,,,,,,[],,,,
1371501461285261320,1371501461285261320,"2021-03-15 17:40:04 Paris, Madrid",2021-03-15,17:40:04,+0100,20395014,hj_sparks,Hazel Osborn,,@Befni just ordered the new book! Can't wait to read. I've known Beth  for 4 years and she really tells it how it is with #ttc #pregnancy #birth. She is a hilarious blogger and this book will be huge!!!    https://t.co/aZyiiZ5Ghv  https://t.co/Q7Slg6JPOK,en,[],['https://thedempseydiaries.bigcartel.com/'],['https://pbs.twimg.com/media/EwiNT4GXAAYQ2Jt.jpg'],0,0,0,"['ttc', 'pregnancy', 'birth']",[],https://twitter.com/hj_sparks/status/1371501461285261320,False,,1,https://pbs.twimg.com/media/EwiNT4GXAAYQ2Jt.jpg,,,,,,,[],,,,
1371487470823608320,1371487470823608320,"2021-03-15 16:44:28 Paris, Madrid",2021-03-15,16:44:28,+0100,808616413,alonzy11,Alonge damilola,,Thank God we still Dey  @Olamide more life @Olamide #Birth-mate  https://t.co/afkHPnXtZ9,en,"[{'screen_name': 'olamide', 'name': 'olamidé', 'id': '190481460'}, {'screen_name': 'olamide', 'name': 'olamidé', 'id': '190481460'}]",[],['https://pbs.twimg.com/media/EwiAlSeXEAQ9NC8.jpg'],1,0,0,['birth'],[],https://twitter.com/alonzy11/status/1371487470823608320,False,,1,https://pbs.twimg.com/media/EwiAlSeXEAQ9NC8.jpg,,,,,,,[],,,,
1371487351722086405,1371487351722086405,"2021-03-15 16:44:00 Paris, Madrid",2021-03-15,16:44:00,+0100,53003701,sillymickel,Mickel Adzema,,"WDC 18/70  *“Don’t Bug Me, Man.”*…We felt “bugged” in the womb, for we were irritated. We cannot abide any creepy crawly bug-like things around us for they remind us of those “itches we cannot scratch”—that prenatal skin irritation.   https://t.co/YVxhFUlmkD #psychology #birth",en,[],['https://sillymickel.blogspot.com/2019/08/1st-half-wdc-parts-one-to-three_86.html'],[],0,0,1,"['psychology', 'birth']",[],https://twitter.com/sillymickel/status/1371487351722086405,False,,0,,,,,,,,[],,,,
1371486373606211585,1371486373606211585,"2021-03-15 16:40:07 Paris, Madrid",2021-03-15,16:40:07,+0100,30725767,uptyscichick,Kathy KendallTackett,,Years of research and testimony on the maternal health disparities in the US in one book. Battling Over Birth is available on Amazon.  https://t.co/Q2Hyuju4xb  #equity #childbirth #birth  https://t.co/sOMGJ3oHjP,en,[],['http://ow.ly/PanQ30rA0GX'],['https://pbs.twimg.com/media/Ewh_lmCWgAUqJzV.jpg'],0,0,0,"['equity', 'childbirth', 'birth']",[],https://twitter.com/UptySciChick/status/1371486373606211585,False,,1,https://pbs.twimg.com/media/Ewh_lmCWgAUqJzV.jpg,,,,,,,[],,,,
1371485087959683072,1371485087959683072,"2021-03-15 16:35:00 Paris, Madrid",2021-03-15,16:35:00,+0100,1350311049732374530,chekitan_vijay,Vijay Chekitan,,#Birth and Rebirth Do Happen  Quran Sharif Shura Al Mulk 67:2 also gives evidence of birth and rebirth.  Visit Satlok Ashram YouTube Channel and Watch Spiritual Discourses.  - Last Prophet Saint Rampal Ji,en,[],[],[],0,0,0,['birth'],[],https://twitter.com/chekitan_vijay/status/1371485087959683072,False,,0,,,,,,,,[],,,,
1371474192374317059,1371474192374317059,"2021-03-15 15:51:42 Paris, Madrid",2021-03-15,15:51:42,+0100,905598026328276992,pmdthevision,D DON JP KINGS FILMS,,"Happy birthday to the creative king of the D. Don JP Kings Film's We love you and celebrate you,   To our fans families and friends pls join us celebrate a great personality.  Happy birthday to you @PDauduokumor We love you sir.  #celebritycircle #Celebrate #pmd #vision15 #birth  https://t.co/RrSEGqzrlL",en,"[{'screen_name': 'pdauduokumor', 'name': 'pmd_axedit', 'id': '1101390974746546176'}]",[],['https://pbs.twimg.com/media/Ewh0gDRWgAMYefV.jpg'],0,0,2,"['celebritycircle', 'celebrate', 'pmd', 'vision15', 'birth']",[],https://twitter.com/PMDthevision/status/1371474192374317059,False,,1,https://pbs.twimg.com/media/Ewh0gDRWgAMYefV.jpg,,,,,,,[],,,,
1371448341884674052,1371448341884674052,"2021-03-15 14:08:59 Paris, Madrid",2021-03-15,14:08:59,+0100,755186351260086272,njpw_1972113,丹,,#レモンサワー 　   が飲みたい 💦 #ニュー桂和  #BIRTH,ja,[],[],[],0,0,1,"['レモンサワー', 'ニュー桂和', 'birth']",[],https://twitter.com/njpw_1972113/status/1371448341884674052,False,,0,,,,,,,,[],,,,
1371438736974639106,1371438736974639106,"2021-03-15 13:30:49 Paris, Madrid",2021-03-15,13:30:49,+0100,2960257645,saidarrr,Lioncider,,山の中から生まれたヒヨコ。 ＊ ＊ ＊ 「誕生」 #illustration #drawing #birth #Chick #Mountain #flower #spring #Fantasy #image #art #colorful #Acrylicpaint #picture #painting #イラスト #アート #カラフル #アクリルガッシュ #絵 #イラストレーション #誕生 #ヒヨコ #山 #花 #春 #空想  https://t.co/vXFuurDZM6,ja,[],[],['https://pbs.twimg.com/media/EwhUQplVcAITsae.jpg'],0,0,9,"['illustration', 'drawing', 'birth', 'chick', 'mountain', 'flower', 'spring', 'fantasy', 'image', 'art', 'colorful', 'acrylicpaint', 'picture', 'painting', 'イラスト', 'アート', 'カラフル', 'アクリルガッシュ', '絵', 'イラストレーション', '誕生', 'ヒヨコ', '山', '花', '春', '空想']",[],https://twitter.com/saidarrr/status/1371438736974639106,False,,1,https://pbs.twimg.com/media/EwhUQplVcAITsae.jpg,,,,,,,[],,,,
